59	93000
59	70000
80	90000
127	165000
59	52000
59	93000
80	116000
136	153000
59	93000
80	116000
136	153000
59	93000
130	155000
158	158000
127	165000
84	120500
59	83000
59	68000
114	141000
59	90000
59	93000
84	118000
129	146000
144	141000
121	120000
59	52000
84	95000
120	131000
127	170000
160	150000
119	110000
84	135000
120	120000
59	92500
119	12500
84	135000
59	89000
43	38000
59	90000
43	38000
59	90000
144	153000
59	92500
144	153000
59	92500
144	153000
59	90000
80	116000
84	120000
84	52000
120	131000
84	163000
84	116000
148	154000
84	134000
59	90000
127	168000
59	68000
59	90000
84	57000
