39	7800
74	17000
39	4000
84	17500
84	18500
59	14500
84	11500
39	4800
84	15800
84	17000
84	18500
39	4200
84	15000
84	18000
39	4700
39	4300
39	4500
39	4800
84	16000
59	14000
84	19000
84	18500
84	18500
84	18500
74	16500
74	16500
59	14500
39	4500
39	8200
39	8200
39	4200
39	7900
39	7900
39	4700
84	15500
84	15000
84	15000
84	16000
59	14800
39	7400
39	7500
39	6900
84	18000
84	18000
84	17400
84	17000
84	18000
74	16500
74	17000
59	14500
59	15300
59	15500
59	15500
59	14200
59	14200
39	4600
39	8000
39	4300
39	8000
